SUMMARY,DTSTART,DTEND,DUE,NOTES,ATTENDEE,LOCATION,PRIORITY,URL,CALENDAR,UID,ORGANIZER,CATEGORIES,DURATION,REPLACES RECURRENT EVENT FROM
"Examen Echanges Thermiques","2020-08-28 09:00 AM","2020-08-28 11:00 AM",,"1A-ALT(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Examen tiers temps","2020-08-28 11:00 AM","2020-08-28 12:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"DS ENERGIE ELECTRIQUE","2020-08-28 01:00 PM","2020-08-28 03:00 PM",,"1A-ETU(Exporté le:23/03/2023 17:56)","","G-2C006","","",,,,,
"RESERVATION RATTRAPAGE 2A ETU","2020-08-31 07:30 AM","2020-08-31 05:30 PM",,"2A-ETU(Exporté le:23/03/2023 17:56)","","G-2C002","","",,,,,
"RESERVATION RATTRAPAGE 2A ETU","2020-08-31 07:30 AM","2020-08-31 05:30 PM",,"2A-ETU(Exporté le:23/03/2023 17:56)","","G-2C001","","",,,,,
"RESERVATION RATTRAPAGE 2A ETU","2020-08-31 07:30 AM","2020-08-31 05:30 PM",,"2A-ETU(Exporté le:23/03/2023 17:56)","","G-2C003","","",,,,,
"RESERVATION RATTRAPAGE 2A/3A ETU","2020-08-31 07:30 AM","2020-08-31 05:30 PM",,"2A-ETU3A-TOUS(Exporté le:23/03/2023 17:56)","","G-2C004","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-08-31 08:00 AM","2020-08-31 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"RESERVATION RATTRAPAGE 2A ETU","2020-09-01 07:30 AM","2020-09-01 05:30 PM",,"2A-ETU(Exporté le:23/03/2023 17:56)","","G-2C002","","",,,,,
"RESERVATION RATTRAPAGE 2A/3A ETU","2020-09-01 07:30 AM","2020-09-01 05:30 PM",,"2A-ETU3A-TOUS(Exporté le:23/03/2023 17:56)","","G-2A003","","",,,,,
"RESERVATION POUR INSCRIPTIONS SCOLARITE","2020-09-01 07:30 AM","2020-09-01 09:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-Salle des forums","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-09-01 08:00 AM","2020-09-01 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"Codir","2020-09-01 09:00 AM","2020-09-01 10:00 AM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"DRiu","2020-09-01 10:00 AM","2020-09-01 12:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"CAubert réunion CDS","2020-09-01 02:00 PM","2020-09-01 04:15 PM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"RESERVATION RATTRAPAGE 2A/3A ETU","2020-09-02 07:30 AM","2020-09-02 05:30 PM",,"2A-ETU3A-TOUS(Exporté le:23/03/2023 17:56)","","G-2A003","","",,,,,
"RESERVATION POUR INSCRIPTIONS SCOLARITE","2020-09-02 07:30 AM","2020-09-02 09:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-Salle des forums","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-09-02 08:00 AM","2020-09-02 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"Réunion de rentrée 2A ALT","2020-09-02 09:00 AM","2020-09-02 12:00 PM",,"2A-ALTRAMDANE Brahim(Exporté le:23/03/2023 17:56)","","G-1A002-Amphi Ampère","","",,,,,
"Rentrée Alternants 1A","2020-09-02 09:00 AM","2020-09-02 11:00 AM",,"1A-ALTEtablissement(Exporté le:23/03/2023 17:56)","","G-0B007-Amphi Bergès","","",,,,,
"test visio service informatique","2020-09-02 10:30 AM","2020-09-02 12:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"Fondamentaux de mathematiques","2020-09-02 01:30 PM","2020-09-02 03:30 PM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"GIMENO MONGE PHITEM Rrentrée formation M1 EEA (sn)","2020-09-02 01:30 PM","2020-09-02 03:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-0B007-Amphi Bergès","","",,,,,
"RESERVATION POUR INSCRIPTIONS SCOLARITE","2020-09-03 07:30 AM","2020-09-03 09:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-Salle des forums","","",,,,,
"RDV et inscriptions étudiants internationaux","2020-09-03 08:00 AM","2020-09-03 06:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1B016-Projet-Vie étudiante","","",,,,,
"Fondamentaux de mathematiques","2020-09-03 08:00 AM","2020-09-03 10:00 AM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Generation photovoltaique stockage","2020-09-03 08:15 AM","2020-09-03 10:15 AM",,"4EUAGPS8_2020_S7_CTD_G1BULTEL Yann(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"Fondamentaux de mathematiques","2020-09-03 10:15 AM","2020-09-03 12:15 PM",,"3EUAFDM8_2020_S5_CTD_G1FAURY Christine(Exporté le:23/03/2023 17:56)","","G-4D006","","",,,,,
"Generation photovoltaique stockage","2020-09-03 10:30 AM","2020-09-03 12:30 PM",,"4EUAGPS8_2020_S7_CTD_G1SCHAEFFER Christian(Exporté le:23/03/2023 17:56)","","G-4D008","","",,,,,
"BAKOUCHE Réunion rentrée (sn)","2020-09-03 11:00 AM","2020-09-03 02:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-1C002-Amphi Coulomb","","",,,,,
"rentrée DRIU","2020-09-03 11:00 AM","2020-09-03 12:00 PM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"BESI","2020-09-03 01:30 PM","2020-09-03 03:30 PM",,"1A-ALTCATERINA Marc(Exporté le:23/03/2023 17:56)","","G-2A007-info","","",,,,,
"Soutenances PFE en visio sécurisée","2020-09-03 01:30 PM","2020-09-03 05:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-1D003-Salle du Conseil","","",,,,,
"RESERVATION POUR INSCRIPTIONS SCOLARITE","2020-09-04 07:30 AM","2020-09-04 09:30 PM",,"(Exporté le:23/03/2023 17:56)","","G-Salle des forums","","",,,,,
